Topic,Group ID,Documents,Words
Topic 16, CVC-UNCC-11-13,1.3266150102725352E-5,0.03680030038496013
Topic 16, CVC-UNCC-11-14,4.680853953990677E-6,0.012900433497198304
Topic 16, CVC-UNCC-11-15,0.0022562929825614636,6.189011651166095
Topic 16, CVC-UNCC-11-16_0,9.654231143751658E-5,0.26124349474991987
Topic 16, CVC-UNCC-11-17,0.005719219933077179,4.232222750477113
Topic 16, CVC-UNCC-11-18,1.1406198096371836E-6,0.0017599763662701742
Topic 16, CVC-UNCC-11-20,9.660487851049406E-5,0.2751306939978871
Topic 16, CVC-UNCC-11-21,3.4230246598501164E-6,0.009163437014418761
Topic 16, CVC-UNCC-11-22,1.7042925789113848E-5,0.04226645595700235
Topic 16, CVC-UNCC-11-23,5.9995697364113205E-6,0.010601239724238803
Topic 16, CVC-UNCC-11-24_0,4.846312402118613E-5,0.12881498364831273
Topic 16, CVC-UNCC-11-25,0.05043648018592598,132.49663344842756
Topic 16, CVC-UNCC-11-26,3.7723789098006546E-5,0.10498530505975222
Topic 16, CVC-UNCC-12-01,0.9559101516307433,2060.9422869158825
Topic 16, CVC-UNCC-12-02,9.282780537665325E-5,0.24283753886532491
Topic 16, CVC-UNCC-12-03,0.001291586777285775,3.523448728435594
Topic 16, CVC-UNCC-12-04,6.17983182363051E-5,0.16574308950977026
Topic 16, CVC-UNCC-12-05,-2.188072350032863E-6,-0.002314980546334769
Topic 16, CVC-UNCC-12-06,1.104055181610058E-5,0.02303059108838581
Topic 16, CVC-UNCC-12-07,1.850440236779007E-5,0.049129188286482633
Topic 16, CVC-UNCC-12-08,0.018513676094988638,51.41247851578345
Topic 16, CVC-UNCC-12-09,1.1421516599462575E-6,0.0027925608085685996
Topic 16, CVC-UNCC-12-10,1.335444780975536E-5,0.03584333792138339
Topic 16, CVC-UNCC-12-11,3.9267963003410097E-5,0.069229418775012
Topic 16, CVC-UNCC-12-12,0.013281121304418275,18.195136187053038
Topic 16, CVC-UNCC-12-13,1.8127977326484466E-5,0.015680700387409062
Topic 16, CVC-UNCC-12-14,3.3783893787501054E-5,0.08743271712205272
Topic 16, CVC-UNCC-12-15_0,0.004377114704562406,11.148511152520449
Topic 16, CVC-UNCC-13-01,6.083186357101564E-5,0.15536457956037394
Topic 16, CVC-UNCC-13-02,2.402222353448155E-6,0.006303431455447959
Topic 16, CVC-UNCC-13-03,1.2008662319737584E-5,0.028556598996335975
Topic 16, CVC-UNCC-13-04,1.1262765066425417E-5,0.012783238350392849
Topic 16, CVC-UNCC-13-05,1.6123398854760893E-5,0.03977642497469512
Topic 16, CVC-UNCC-13-06,6.633138235522104E-5,0.1097121064155356
Topic 16, CVC-UNCC-13-07,3.041622002344071E-4,0.5182923891994297
Topic 16, CVC-UNCC-13-08,3.922016324196522E-6,0.011067930066882585
Topic 16, CVC-UNCC-13-09,0.8430434672928521,2322.5847523918073
Topic 16, CVC-UNCC-13-10_0,-6.137543941226164E-4,-1.7332424090022687
Topic 16, CVC-UNCC-13-11,0.0026214155967961826,7.221999969173483
Topic 16, CVC-UNCC-13-12_0,2.3040748871942176E-6,0.006174920697680503
Topic 16, CVC-UNCC-13-13,7.981891052648503E-5,0.19715270900041804
Topic 16, CVC-UNCC-13-14,-2.165785507769157E-6,-0.002692071386157062
Topic 16, CVC-UNCC-13-15,4.297376637881413E-5,0.11370858583834219
Topic 16, CVC-UNCC-13-16,1.654308764758775E-5,0.04476559517437245
Topic 16, CVC-UNCC-13-17,6.633138235522104E-5,0.1097121064155356
Topic 16, CVC-UNCC-14-01,4.433495507239732E-5,0.11828566013315606
Topic 16, CVC-UNCC-14-02,8.681847887452256E-5,0.16729920879120497
Topic 16, CVC-UNCC-14-03,1.4637252809036637E-5,0.03581735762371265
Topic 16, CVC-UNCC-14-04,0.03105358852335658,78.93822202637243
Topic 16, CVC-UNCC-14-05,3.2383056272520543E-6,0.008358066823937553
Topic 16, CVC-UNCC-14-06,1.3385181152856457E-5,0.03217797549146692
Topic 16, CVC-UNCC-14-07,0.0037746338355456534,9.829146507760882
Topic 16, CVC-UNCC-14-08,0.004780840991457836,10.321835700557468
Topic 16, CVC-UNCC-14-09,1.654081095179365E-4,0.4151743548900206
Topic 16, CVC-UNCC-14-10,0.013451499432054028,38.67306086715533
Topic 16, CVC-UNCC-14-11,6.790279422663559E-7,0.001789917655814114
Topic 16, CVC-UNCC-14-12,0.04667860549884995,122.57801803997998
Topic 16, CVC-UNCC-14-13,0.846856886980243,2249.2518918195256
Topic 16, CVC-UNCC-14-14,0.8173177103068169,2299.114719093076
Topic 16, CVC-UNCC-14-15,3.922016324196522E-6,0.011067930066882585
Topic 16, CVC-UNCC-14-16,0.003835966003534704,10.360944175547235
Topic 17, CVC-UNCC-06-01,0.13582987292432386,371.7663621938744
Topic 17, CVC-UNCC-06-02,7.213555973309497E-4,1.9166418221083334
Topic 17, CVC-UNCC-06-03,0.23895465808060426,611.4849700282663
Topic 17, CVC-UNCC-06-04,5.054225945767696E-5,0.14333784782197187
Topic 17, CVC-UNCC-06-05,-1.1310835712620426E-6,-0.003043745890266157
Topic 17, CVC-UNCC-06-06,4.309936280436763E-5,0.11615278275777077
Topic 17, CVC-UNCC-06-07,4.184349947912444E-6,0.010900231614311917
Topic 17, CVC-UNCC-06-08,0.004441525479379076,11.552407771864978
Topic 17, CVC-UNCC-06-09,6.358178448974263E-6,0.016041684226762068
Topic 17, CVC-UNCC-06-09_0,6.358178448974263E-6,0.016041684226762068
Topic 17, CVC-UNCC-06-11,1.7325069346962876E-6,0.004469867891516422
Topic 17, CVC-UNCC-07-01,1.0934494727763981E-5,0.029501266775507223
Topic 17, CVC-UNCC-07-02,2.128600745343212E-5,0.05519461732674949
Topic 17, CVC-UNCC-07-03,0.12130234006225583,283.2409640453674
Topic 17, CVC-UNCC-07-04,6.01593767133212E-7,0.001328319037830132
Topic 17, CVC-UNCC-07-05,0.09249140328347207,261.1957228725251
Topic 17, CVC-UNCC-07-06,0.1171904831543074,317.11744741555583
